law;paragraph;title;text_hash;status;valid_from;comment
BImSchG;§1;Purpose of the Act;a1f0c2d5;in_force;1990-03-15;
BImSchG;§3;Definitions;b3e7f912;in_force;2013-07-12;Last substantive amendment in 2013
BImSchG;§4;Installations Requiring Approval;c4d8a103;in_force;2017-07-25;
BImSchG;§5;Obligations of Operators of Installations Requiring Approval;d5b9e221;in_force;2024-12-01;Threshold values according to 4.BImSchV Annex 1
BImSchG;§15;Notification of Changes;e6c0f334;in_force;2017-07-25;
BImSchG;§17;Subsequent Orders;f7d1a445;in_force;2013-07-08;
KrWG;§3;Definitions;a8e2b556;in_force;2020-10-23;
KrWG;§6;Waste Hierarchy;b9f3c667;in_force;2012-02-24;
KrWG;§7;Obligations of Waste Producers and Owners;c0a4d778;in_force;2020-10-23;
KrWG;§8;Ranking and Quality of Recovery Measures;d1b5e889;in_force;2020-10-23;
GefStoffV;§6;Information Assessment and Hazard Evaluation;e2c6f99a;in_force;2010-11-26;
GefStoffV;§7;Basic Obligations;f3d70aab;in_force;2010-11-26;
GefStoffV;§8;General Protective Measures;a4e81bbc;in_force;2010-11-26;
WHG;§3;Definitions;b5f92ccd;in_force;2009-07-31;
WHG;§62;Requirements for Handling Water-Hazardous Substances;c6a03dde;in_force;2017-06-18;
